Time,CORE_ZN ZN PSZ-AC:Des Heat Mass Flow [kg/s],CORE_ZN ZN PSZ-AC:Des Cool Mass Flow [kg/s],CORE_ZN ZN PSZ-AC:Des Heat Cap [W],CORE_ZN ZN PSZ-AC:Des Sens Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC:Des Heat Cap [W],PERIMETER_ZN_1 ZN PSZ-AC:Des Sens Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC:Des Heat Cap [W],PERIMETER_ZN_2 ZN PSZ-AC:Des Sens Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC:Des Heat Cap [W],PERIMETER_ZN_3 ZN PSZ-AC:Des Sens Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC:Des Heat Cap [W],PERIMETER_ZN_4 ZN PSZ-AC:Des Sens Cool Cap [W]
00:10:00,1.570928E-01,3.029222E-01,2.999264E+03,4.231076E+03,4.873448E-01,3.051574E-01,9.308408E+03,4.262843E+03,3.146309E-01,2.003942E-01,6.009624E+03,2.799393E+03,4.791086E-01,3.111916E-01,9.150957E+03,4.347121E+03,3.158542E-01,2.125098E-01,6.032990E+03,2.968648E+03
00:20:00,1.572240E-01,3.041580E-01,3.001770E+03,4.248337E+03,4.874487E-01,3.038640E-01,9.310392E+03,4.244777E+03,3.146935E-01,1.993537E-01,6.010821E+03,2.784860E+03,4.792123E-01,3.099203E-01,9.152937E+03,4.329365E+03,3.159168E-01,2.114213E-01,6.034187E+03,2.953444E+03
00:30:00,1.573538E-01,3.051219E-01,3.004248E+03,4.261800E+03,4.875514E-01,3.024551E-01,9.312353E+03,4.225097E+03,3.147554E-01,1.982365E-01,6.012003E+03,2.769256E+03,4.793148E-01,3.085292E-01,9.154895E+03,4.309934E+03,3.159787E-01,2.102575E-01,6.035370E+03,2.937185E+03
00:40:00,1.574821E-01,3.058502E-01,3.006697E+03,4.271973E+03,4.876528E-01,3.009558E-01,9.314291E+03,4.204154E+03,3.148166E-01,1.970629E-01,6.013172E+03,2.752861E+03,4.794160E-01,3.070442E-01,9.156829E+03,4.289190E+03,3.160399E-01,2.090309E-01,6.036539E+03,2.920050E+03
00:50:00,1.576088E-01,3.063739E-01,3.009116E+03,4.279288E+03,4.877530E-01,2.993854E-01,9.316205E+03,4.182217E+03,3.148771E-01,1.958470E-01,6.014326E+03,2.735877E+03,4.795161E-01,3.054851E-01,9.158740E+03,4.267412E+03,3.161004E-01,2.077536E-01,6.037693E+03,2.902206E+03
01:00:00,1.577339E-01,3.067192E-01,3.011504E+03,4.284111E+03,4.878519E-01,2.977596E-01,9.318095E+03,4.159505E+03,3.149367E-01,1.946003E-01,6.015466E+03,2.718461E+03,4.796148E-01,3.038679E-01,9.160626E+03,4.244821E+03,3.161601E-01,2.064379E-01,6.038834E+03,2.883825E+03
01:10:00,1.578576E-01,3.069093E-01,3.013866E+03,4.286766E+03,4.879499E-01,2.961314E-01,9.319966E+03,4.136760E+03,3.149959E-01,1.933579E-01,6.016596E+03,2.701106E+03,4.797127E-01,3.022444E-01,9.162495E+03,4.222142E+03,3.162192E-01,2.051115E-01,6.039963E+03,2.865294E+03
01:20:00,1.579797E-01,3.069632E-01,3.016198E+03,4.287520E+03,4.880466E-01,2.945119E-01,9.321813E+03,4.114137E+03,3.150542E-01,1.921263E-01,6.017711E+03,2.683900E+03,4.798092E-01,3.006256E-01,9.164339E+03,4.199529E+03,3.162776E-01,2.037823E-01,6.041078E+03,2.846725E+03
01:30:00,1.581002E-01,3.068979E-01,3.018498E+03,4.286607E+03,4.881420E-01,2.929106E-01,9.323635E+03,4.091768E+03,3.151118E-01,1.909101E-01,6.018811E+03,2.666910E+03,4.799045E-01,2.990210E-01,9.166159E+03,4.177114E+03,3.163352E-01,2.024568E-01,6.042178E+03,2.828208E+03
01:40:00,1.582190E-01,3.067281E-01,3.020767E+03,4.284235E+03,4.882361E-01,2.913356E-01,9.325433E+03,4.069767E+03,3.151687E-01,1.897131E-01,6.019896E+03,2.650187E+03,4.799985E-01,2.974387E-01,9.167954E+03,4.155009E+03,3.163920E-01,2.011413E-01,6.043264E+03,2.809830E+03
01:50:00,1.583363E-01,3.064665E-01,3.023006E+03,4.280582E+03,4.883290E-01,2.897941E-01,9.327206E+03,4.048231E+03,3.152247E-01,1.885404E-01,6.020967E+03,2.633805E+03,4.800912E-01,2.958855E-01,9.169724E+03,4.133312E+03,3.164481E-01,1.998414E-01,6.044335E+03,2.791671E+03
02:00:00,1.584519E-01,3.061244E-01,3.025213E+03,4.275803E+03,4.884205E-01,2.882919E-01,9.328954E+03,4.027247E+03,3.152800E-01,1.873951E-01,6.022023E+03,2.617806E+03,4.801826E-01,2.943674E-01,9.171470E+03,4.112105E+03,3.165034E-01,1.985624E-01,6.045391E+03,2.773803E+03
02:10:00,1.585659E-01,3.057115E-01,3.027389E+03,4.270036E+03,4.885108E-01,2.867954E-01,9.330678E+03,4.006341E+03,3.153345E-01,1.862562E-01,6.023064E+03,2.601896E+03,4.802727E-01,2.928521E-01,9.173192E+03,4.090937E+03,3.165579E-01,1.972839E-01,6.046432E+03,2.755944E+03
