Time,CORE_ZN ZN PSZ-AC:Des Heat Mass Flow [kg/s],CORE_ZN ZN PSZ-AC:Des Cool Mass Flow [kg/s],CORE_ZN ZN PSZ-AC:Des Heat Cap [W],CORE_ZN ZN PSZ-AC:Des Sens Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC:Des Heat Cap [W],PERIMETER_ZN_1 ZN PSZ-AC:Des Sens Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC:Des Heat Cap [W],PERIMETER_ZN_2 ZN PSZ-AC:Des Sens Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC:Des Heat Cap [W],PERIMETER_ZN_3 ZN PSZ-AC:Des Sens Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC:Des Heat Cap [W],PERIMETER_ZN_4 ZN PSZ-AC:Des Sens Cool Cap [W]
00:10:00,4.842753E-01,2.817569E-01,9.250657E+03,3.935925E+03,7.233427E-01,2.177852E-01,1.382124E+04,3.042382E+03,4.531074E-01,1.277844E-01,8.657763E+03,1.785099E+03,7.143689E-01,2.179756E-01,1.364961E+04,3.045039E+03,4.540871E-01,1.289314E-01,8.676485E+03,1.801124E+03
00:20:00,4.842762E-01,2.800932E-01,9.250673E+03,3.912687E+03,7.233434E-01,2.141424E-01,1.382125E+04,2.991491E+03,4.531078E-01,1.255667E-01,8.657772E+03,1.754116E+03,7.143695E-01,2.143395E-01,1.364962E+04,2.994242E+03,4.540876E-01,1.265316E-01,8.676494E+03,1.767598E+03
00:30:00,4.842769E-01,2.782861E-01,9.250688E+03,3.887444E+03,7.233440E-01,2.104205E-01,1.382126E+04,2.939493E+03,4.531083E-01,1.232915E-01,8.657780E+03,1.722331E+03,7.143702E-01,2.106279E-01,1.364963E+04,2.942388E+03,4.540880E-01,1.240968E-01,8.676502E+03,1.733581E+03
00:40:00,4.842776E-01,2.763697E-01,9.250701E+03,3.860673E+03,7.233445E-01,2.066502E-01,1.382127E+04,2.886820E+03,4.531086E-01,1.209785E-01,8.657787E+03,1.690016E+03,7.143707E-01,2.068706E-01,1.364964E+04,2.889896E+03,4.540883E-01,1.216432E-01,8.676509E+03,1.699303E+03
00:50:00,4.842782E-01,2.743702E-01,9.250712E+03,3.832741E+03,7.233450E-01,2.028572E-01,1.382128E+04,2.833828E+03,4.531090E-01,1.186441E-01,8.657794E+03,1.657403E+03,7.143712E-01,2.030929E-01,1.364965E+04,2.837118E+03,4.540887E-01,1.191850E-01,8.676515E+03,1.664959E+03
01:00:00,4.842788E-01,2.723088E-01,9.250723E+03,3.803944E+03,7.233455E-01,1.990622E-01,1.382129E+04,2.780810E+03,4.531093E-01,1.163020E-01,8.657799E+03,1.624682E+03,7.143717E-01,1.993150E-01,1.364966E+04,2.784339E+03,4.540890E-01,1.167335E-01,8.676521E+03,1.630711E+03
01:10:00,4.842793E-01,2.702593E-01,9.250732E+03,3.775313E+03,7.233459E-01,1.953655E-01,1.382130E+04,2.729163E+03,4.531096E-01,1.140146E-01,8.657805E+03,1.592726E+03,7.143721E-01,1.956352E-01,1.364967E+04,2.732930E+03,4.540893E-01,1.143495E-01,8.676526E+03,1.597405E+03
01:20:00,4.842797E-01,2.682366E-01,9.250741E+03,3.747055E+03,7.233462E-01,1.917829E-01,1.382130E+04,2.679112E+03,4.531098E-01,1.117925E-01,8.657809E+03,1.561681E+03,7.143724E-01,1.920690E-01,1.364968E+04,2.683107E+03,4.540895E-01,1.120420E-01,8.676531E+03,1.565167E+03
01:30:00,4.842801E-01,2.662541E-01,9.250749E+03,3.719361E+03,7.233465E-01,1.883301E-01,1.382131E+04,2.630874E+03,4.531100E-01,1.096460E-01,8.657813E+03,1.531693E+03,7.143727E-01,1.886316E-01,1.364968E+04,2.635084E+03,4.540897E-01,1.098200E-01,8.676535E+03,1.534125E+03
01:40:00,4.842805E-01,2.643233E-01,9.250755E+03,3.692388E+03,7.233468E-01,1.850210E-01,1.382132E+04,2.584643E+03,4.531102E-01,1.075845E-01,8.657817E+03,1.502893E+03,7.143730E-01,1.853367E-01,1.364969E+04,2.589052E+03,4.540899E-01,1.076919E-01,8.676538E+03,1.504393E+03
